Date,Market,Chain,Product,Return,Sum
2023-01-21,Мд,Мд 125,388800.0,72000.0,460800.0
2023-01-23,Мд,Мд 117 Далай Ээж,302400.0,,
2023-01-27,Мд,Мд 108 Зайсан,446400.0,57600.0,504000.0
2023-01-30,Мд,Мд 117 Далай Ээж,403200.0,43200.0,446400.0
2023-02-04,Мд,Мд 125,892800.0,86400.0,979200.0
2023-02-11,Мд,Мд 108,460800.0,72000.0,532800.0
2023-02-16,Мд,Мд 125,504000.0,28800.0,532800.0
2023-02-17,,,,,
2023-02-17,Мд,Мд 112,374400.0,,
2023-02-17,Мд,Мд Нисэх,,144000.0,
2023-03-02,Мд,Мд 117 Далай Ээж,504000.0,,
2023-03-03,Мд,Мд Нисэх,316800.0,86400.0,403200.0
2023-03-04,Мд,Мд 108 Зайсан,273600.0,57600.0,331200.0
2023-03-10,Мд,Мд 117 Далай Ээж,360000.0,72000.0,432000.0
2023-03-13,Мд,Мд 112 Саппоро,331200.0,,
2023-03-16,Мд,Мд 125,388800.0,,
2023-03-17,Мд,Мд 117 Далай Ээж,403200.0,14400.0,417600.0
2023-03-20,Мд,Мд 110,172800.0,72000.0,244800.0
2023-03-22,Мд,Мд 108 Зайсан,417600.0,43200.0,460800.0
2023-03-24,Мд,Мд 117 Далай Ээж,374400.0,28800.0,403200.0
2023-03-27,Мд,Мд 112 Саппоро,115200.0,144000.0,259200.0
2023-03-31,Мд,Мд 117 Далай Ээж,144000.0,,
2023-04-03,Мд,Мд 110,216000.0,72000.0,288000.0
2023-04-06,Мд,Мд 125,619200.0,115200.0,734400.0
2023-04-10,Мд,Мд 117 Далай Ээж,172800.0,,
2023-04-13,Мд,Мд 125,388800.0,,
2023-04-13,Мд,Мд 112 Саппоро,,201600.0,
2023-04-20,Мд,Мд 117 Далай Ээж,,28800.0,
2023-04-24,Мд,Мд 125,547200.0,14400.0,561600.0
2023-04-26,Мд,Мд 110,158400.0,28800.0,187200.0
2023-04-28,Мд,Мд 117 Далай Ээж,648000.0,14400.0,662400.0
2023-01-03,Эфэс,Эфэс Алтай хотхон,518400.0,28800.0,547200.0
2023-01-03,Эфэс,Эфэс 13 бөх.өргөө,331200.0,14400.0,345600.0
2023-01-04,Эфэс,Эфэс зайсан,388800.0,,
2023-01-05,Эфэс,Эфэс Морьтон,388800.0,,
2023-01-09,Эфэс,Эфэс зайсан,633600.0,57600.0,691200.0
2023-01-09,Эфэс,Эфэс 13 бөх.өргөө,475200.0,43200.0,518400.0
2023-01-12,Эфэс,Эфэс Морьтон,345600.0,43200.0,388800.0
2023-01-15,Эфэс,Эфэс зайсан,388800.0,,
2023-01-16,Эфэс,Эфэс Алтай хотхон,360000.0,,
2023-01-16,Эфэс,Эфэс 13 бөх.өргөө,547200.0,14400.0,561600.0
2023-01-18,Эфэс,Эфэс Морьтон,547200.0,14400.0,561600.0
2023-01-20,Эфэс,Эфэс зайсан,144000.0,43200.0,187200.0
